1,DB Experts,5323,145312345,145312345,NULL,Jean-Marc Dissous,NULL,S,info@dbexperts.fr
2,Formation Plus,5012,900543422,145452321,NULL,Hélène DeTroie,NULL,S,helene@formationp.com
3,Jacques-André Gendrault,7768,726875745,NULL,NULL,726875745,NULL,S,j.muller@openyourheartatseniorpeoplemeet.com
4,Léona Poncet,5150,919996684,NULL,NULL,807651341,NULL,S,l.gaillard@openyourheartatseniorpeoplemeet.com
5,Lucie Moreau,8687,953412610,NULL,NULL,217177112,NULL,S,l.decaussade@openyourheartatseniorpeoplemeet.com
6,Élie Marie,9250,964125254,NULL,NULL,910766078,NULL,S,NULL
7,Wissem Entremont,9041,946137122,NULL,NULL,907646270,NULL,S,i.blanchard@openyourheartatseniorpeoplemeet.com
8,Ferdinand Vaudaux,5336,758654663,NULL,NULL,758654663,NULL,S,f.rey@openyourheartatseniorpeoplemeet.com
9,Béatrice Michalowski,7337,118008426,NULL,NULL,118008426,NULL,S,NULL
10,Aristide Lopez,18226,886022427,NULL,NULL,886022427,NULL,S,NULL
11,Virgil Chaumeil,13199,929744334,NULL,NULL,929744334,NULL,S,NULL
12,Alice Puzzuoli,19204,323770420,NULL,NULL,323770420,NULL,S,NULL
13,Mélissende Goumari,5175,936046291,NULL,NULL,493794635,NULL,S,NULL
14,Wissem Ferry,17344,967419060,NULL,NULL,947918776,NULL,S,NULL
15,Colombe Boucris,22156,933042466,NULL,NULL,933042466,NULL,S,c.dumas@actionloans.com
16,Alphonse De Laistre,17534,900605207,NULL,NULL,900605207,NULL,S,a.delaistre@adele.com
17,Aimée Coufoulens,15996,NULL,NULL,NULL,NULL,NULL,S,NULL
18,Sidonie Moisy,19334,930213264,NULL,NULL,347130244,NULL,S,NULL
19,Marc Levaux,13917,994451673,NULL,NULL,741185432,NULL,S,o.michel@bankruptcy.com
20,Léa Cowez,12960,991694858,NULL,NULL,NULL,NULL,S,l.dupuis@bessiefeliciano.com
21,Pauline Vittot,9181,NULL,NULL,NULL,NULL,NULL,S,NULL
22,Héloïse Gilles,9609,NULL,NULL,NULL,NULL,NULL,S,NULL
23,Laure Moreau,19999,928201151,NULL,NULL,284543238,NULL,S,l.lopez@bridgetpratt.com
24,Jean-Paul Rebatet,7385,961230564,NULL,NULL,NULL,NULL,S,j.durand@carchex.com
25,Marc Miezan,5275,967397217,NULL,NULL,NULL,NULL,S,NULL
